term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
ejdetyczny,,ejdetyczn,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
ekfoneza,,ekfonezy,,Słownik terminów literackich (Sierotwiński),,
ekfraza,,ekfraza,,Epoki literackie. Wielki leksykon literatury polskiej | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810658830105606,http://www.wikidata.org/entity/Q1323450
ekipa filmowa,,ekipa filmowy,,Słownik pojęć i tekstów kultury,,
eklektyzm,,eklektyzm,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
ekloga,,eklogi,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
ekranizacja,,ekranizacja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki,,
ekscerpt,,ekscerpt,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
eksklamacja,,eksklamacja,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ekskurs,,ekskurs,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ekslibris,,ekslibris,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
eksodos,,eksodos,,Słownik terminów teatralnych (Patrice Pavis),,
eksperyment artystyczny,,eksperyment artystyczny,,Słownik Terminów Literackich (Głowiński),,
eksplikacja,,eksplikacja,,Słownik terminów literackich (Sierotwiński),,
ekspozycja,,ekspozycja,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
ekspozycja w dramacie,,ekspozycja w dramat,,Słownik terminów literackich (Sierotwiński),,
ekspresja,,ekspresja,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis)",,
ekspresja momentalna,,ekspresja momentalny,,Słownik terminów literackich (Sierotwiński),,
ekspresjonizm,,ekspresjonizm,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810611108805606,http://www.wikidata.org/entity/Q1148060
ekspresjonizm filmowy,,ekspresjonizm filmowy,,Słownik pojęć i tekstów kultury,,
ekspresywizm,,ekspresywizm,,Słownik pojęć i tekstów kultury,,
ekwiwalencja wersów,,ekwiwalencja wers,,Słownik terminów literackich (Sierotwiński),,
ekwiwalent uczuć,,ekwiwalent uczucie,,Słownik Terminów Literackich (Głowiński),,
ekwiwokacja,,ekwiwokacja,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
elegia,,elegia,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660756205606,http://www.wikidata.org/entity/Q174864
elegia pasterska,,elegia pasterski,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
elegia żałobna,,elegia żałobny,,Słownik terminów literackich (Sierotwiński),,
elegijambus,,elegijambus,,Słownik Terminów Literackich (Głowiński),,
element,,element,,Słownik terminów literackich (Sierotwiński),,
elipsa,,elipsa,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
elizja,,elizja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
elocutio,,elocutio,,Słownik Terminów Literackich (Głowiński),,
elogium,,elogium,,"Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
elokucja,,elokucja,,Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik terminów teatralnych (Patrice Pavis),,
elukubracja,,elukubracja,,Słownik terminów literackich (Sierotwiński),,
elzewiry,,elzewir,,Słownik Terminów Literackich (Głowiński),,
elżbietańska literatura,,elżbietański literatura,,Słownik Terminów Literackich (Głowiński),,
emaus,,emaus,,"Słownik Terminów Literackich (Głowiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
embaterion,,embaterion,,Słownik Terminów Literackich (Głowiński),,
emblemat,,emblemat,,"Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810638905705606,
embolima,,embolima,,Słownik Terminów Literackich (Głowiński),,
embolion,,embolion,,Słownik Terminów Literackich (Głowiński),,
emendacja,,emendacja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
emfaza,,emfaza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810683496505606,http://www.wikidata.org/entity/Q9253425
emigracja wewnętrzna,,emigracja wewnętrzny,,Słownik Terminów Literackich (Głowiński),,
emigracyjna literatura,,emigracyjny literatura,,Słownik Terminów Literackich (Głowiński),,
emocjonalizm,,emocjonalizm,,Słownik terminów literackich (Sierotwiński),,
empatia,,empatia,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik polskiej krytyki literackiej 1764-1918",,
empiryczny,,empiryczny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
empiryzm,,empiryzm,,"Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury",,
emploi,,emploi,,Słownik Terminów Literackich (Głowiński) | Słownik wiedzy o teatrze | Słownik terminów teatralnych (Patrice Pavis),,
enallage,,enallage,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
enargeia,,enargeia,,Słownik Terminów Literackich (Głowiński),,
enarracja,,enarracja,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
encheiridion,,Encheiridion,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
enchirydion,,enchirydion,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
encyklika,,encyklika,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
encyklopedia,,encyklopedia,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
encyklopedyści,,encyklopedysta,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
endecha,,endecha,,Słownik Terminów Literackich (Głowiński),,
english voyage,,english voyage,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
englyn,,englyna,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
enigmat,,enigmat,,Słownik literatury staropolskiej | Słownik terminów literackich (Sierotwiński),,
enigmonim,,enigmonim,,Słownik Terminów Literackich (Głowiński),,
enjambement,,enjambement,,Słownik terminów literackich (Sierotwiński),,
enklityka,,enklityka,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
enkomion,,enkomion,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
énoncé,,énoncé,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
enoplios,,enoplios,,Słownik Terminów Literackich (Głowiński),,
ensalada,,ensalada,,Słownik Terminów Literackich (Głowiński),,
ensenhamen,,ensenhamen,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
entremes,entremés,entremes,,Słownik Terminów Literackich (Głowiński) | Słownik terminów teatralnych (Patrice Pavis),,
entremés,,entremés,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
entremets,,entremets,,Słownik Terminów Literackich (Głowiński),,
entuzjaści,,entuzjasta,,Słownik Terminów Literackich (Głowiński),,
entuzjazm,,entuzjazm,,Słownik Terminów Literackich (Głowiński) | Słownik polskiej krytyki literackiej 1764-1918,,
entw,,entw,,Słownik terminów literackich (Sierotwiński),,
entwicklungsroman,,entwicklungsroman,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
entwicklungsrpoman,,Entwicklungsrpoman,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
entymemat,,entymemat,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
enumeracja,enumeratio,enumeracja,,Słownik terminów literackich (Sierotwiński) | Słownik egzemplaryczny: 44 środków artystycznego wyrazu,,
enumeratio,,enumeratio,,Słownik Terminów Literackich (Głowiński),,
envoi,,envoi,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
eolskie miary,,eolski miara,,Słownik Terminów Literackich (Głowiński),,
epanadiploza,,epanadiploza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epanafora,,epanafora,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epanalepsa,,epanalepsa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epanastrofa,,epanastrofa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epanodos,,epanodos,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epanodus,,epanodus,,Słownik terminów literackich (Sierotwiński),,
epeisodion,epejsodion,epeisodion,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury | Słownik terminów teatralnych (Patrice Pavis),,
epejsodion,,Epejsodion,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Ilustrowany słownik terminów literackich,,
epenteza,,epenteza,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epexegesis,,epexegesis,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
ephraemiticum metrum,,ephraemiticum metrum,,Słownik Terminów Literackich (Głowiński),,
ephymnium,,ephymnium,,Słownik Terminów Literackich (Głowiński),,
epibaterion,,epibaterion,,Słownik Terminów Literackich (Głowiński),,
epicedion,,Epicedion,,Słownik terminów literackich (Sierotwiński),,
epicedium,,epicedium,,"Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury staropolskiej | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epideiktyczna poezja,,epideiktyczny poezja,,Słownik Terminów Literackich (Głowiński),,
epifania,,epifania,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epifonem,,epifonem,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epifora,,epifora,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
epifraza,,epifraza,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epigon,,epigon,,Słownik pojęć i tekstów kultury,,
epigonizm,,epigonizm,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epigraf,,epigraf,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
epigrafika,,epigrafika,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epigram,zły lemat?,epigrać,,Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660769305606,
epigramat,,epigramat,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epika,zły lemat,epik,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660769505606,http://www.wikidata.org/entity/Q1097273
epiki elementy strukturalne,,epika element strukturalny,,Słownik terminów literackich (Sierotwiński),,
epiki odmiany,,epika odmiana,,Słownik terminów literackich (Sierotwiński),,
epikruza,,epikruza,,Słownik Terminów Literackich (Głowiński),,
epikureizm,,epikureizm,,Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury,,
epilenion,,epilenion,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epilepsis,,epilepsis,,Słownik Terminów Literackich (Głowiński),,
epilion,,Epilion,,Słownik terminów literackich (Sierotwiński),,
epilog,epilogos,epilog,,Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
epilogos,,epilogos,,Słownik Terminów Literackich (Głowiński),,
epimythion,,epimythion,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epinicion,,epinicion,,Słownik terminów literackich (Sierotwiński),,
epinikion,epinicium,epinikion,,"Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epiparodos,,epiparodos,,Słownik Terminów Literackich (Głowiński),,
epiploke,,epiploke,,Słownik Terminów Literackich (Głowiński),,
epirrema,,epirrema,,Słownik Terminów Literackich (Głowiński),,
episches theater,,episches theater,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
episteme,,episteme,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
epistemologia,,epistemologia,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik pojęć i tekstów kultury",,
epistemologia jako metanarracja poznawcza,,epistemologia jako metanarracja poznawczy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
epistemologia pokantowska,,epistemologia pokantowska,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
epistolografia,,epistolografia,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9812400135505606,http://www.wikidata.org/entity/Q3491641
epistoła,,Epistoł,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epistrofa,,epistrofa,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
episynaloifa,,episynaloifa,,Słownik Terminów Literackich (Głowiński),,
epitafium,,epitafium,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660769805606,
epitalamium,,epitalamium,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik Terminów Literackich (Głowiński) | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660769905606,http://www.wikidata.org/entity/Q686027
epitasis,,epitasis,,Słownik Terminów Literackich (Głowiński) | Słownik terminów teatralnych (Patrice Pavis),,
epitaza,,epitaza,,Słownik terminów literackich (Sierotwiński),,
epitet,,epitet,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epitet bezpośredni,,epitet bezpośredni,,Słownik terminów literackich (Sierotwiński),,
epitet dekoratywny,,epitet dekoratywny,,Słownik terminów literackich (Sierotwiński),,
epitet dynamiczny,,epitet dynamiczny,,Słownik terminów literackich (Sierotwiński),,
epitet indywidualizujący,,epitet indywidualizujący,,Słownik terminów literackich (Sierotwiński),,
epitet malowniczy,,epitet malowniczy,,Słownik terminów literackich (Sierotwiński),,
epitet metaforyczny,,epitet metaforyczny,,Słownik terminów literackich (Sierotwiński),,
epitet parzysty,,epitet parzysty,,Słownik terminów literackich (Sierotwiński),,
epitet podmiotowy,,epitet podmiotowy,,Słownik terminów literackich (Sierotwiński),,
epitet potrójny,,epitet potrójny,,Słownik terminów literackich (Sierotwiński),,
epitet przedmiotowy,,epitet przedmiotowy,,Słownik terminów literackich (Sierotwiński),,
epitet przenośny,,epitet przenośny,,Słownik terminów literackich (Sierotwiński),,
epitet rzadki,,epitet rzadki,,Słownik terminów literackich (Sierotwiński),,
epitet rzeczowy,,epitet rzeczowy,,Słownik terminów literackich (Sierotwiński),,
epitet sprzeczny,,epitet sprzeczny,,Słownik terminów literackich (Sierotwiński),,
epitet stały,,epitet stać,,Słownik terminów literackich (Sierotwiński) | Słownik egzemplaryczny: 44 środków artystycznego wyrazu,,
epitet statyczny,,epitet statyczny,,Słownik terminów literackich (Sierotwiński),,
epitet superlatywny,,epitet superlatywny,,Słownik terminów literackich (Sierotwiński),,
epitet tautologiczny,,epitet tautologiczny,,Słownik terminów literackich (Sierotwiński),,
epitet uczuciowy,,epitet uczuciowy,,Słownik terminów literackich (Sierotwiński),,
epitet uzupełniający,,epitet uzupełniać,,Słownik terminów literackich (Sierotwiński),,
epitet wyszukany,,epitet wyszukać,,Słownik terminów literackich (Sierotwiński),,
epitet zdobiący,,epitet zdobiący,,Słownik terminów literackich (Sierotwiński),,
epitet złożony,,epitet złożyć,,Słownik terminów literackich (Sierotwiński),,
epitetum ornans,epithetum ornans,epitetum ornans,,Słownik terminów literackich (Sierotwiński),,
epithalamion,,Epithalamion,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
epithetum ornans,,epithetum ornans,,Słownik Terminów Literackich (Głowiński),,
epitimesis,,epitimesis,,Słownik Terminów Literackich (Głowiński),,
epitoma,,epitoma,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epitome,,epitomy,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
epitrochasmos,,epitrochasmos,,Słownik Terminów Literackich (Głowiński),,
epitrope,,epitrope,,Słownik Terminów Literackich (Głowiński),,
epitryt,,epitryt,,Słownik terminów literackich (Sierotwiński),,
epizacja teatru,,epizacja teatr,,Słownik terminów teatralnych (Patrice Pavis),,
epizeuksis,,epizeuksis,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
epizod,,epizod,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
epizodyczny,,epizodyczny,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epjnikion,,Epjnikion,,Słownik terminów literackich (Sierotwiński),,
epoche,zły lemat?,epochy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
epoda,,epoda,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epodos,,epodos,,Słownik terminów literackich (Sierotwiński),,
epoka kulturowa,,epoka kulturowy,,Słownik pojęć i tekstów kultury,,
epoka w historii literatury,,epoka w historia literatura,,Słownik terminów literackich (Sierotwiński),,
eponim,,eponim,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
epopeja,,epopeja,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Od teorii do literatury. Słownik literacki | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epopeja bohaterska,,epopeja bohaterski,,Słownik terminów literackich (Sierotwiński),,
epopeja fantastyczna,,epopeja fantastyczny,,Słownik terminów literackich (Sierotwiński),,
epopeja heroiczna,,epopeja heroiczny,,Słownik terminów literackich (Sierotwiński),,
epopeja narodowa,,epopeja narodowy,,Słownik terminów literackich (Sierotwiński),,
epopeja pasterska,,epopeja pasterski,,Słownik terminów literackich (Sierotwiński),,
epopeja religijna,,epopeja religijny,,Słownik terminów literackich (Sierotwiński),,
epopeja rycerska,,epopeja rycerski,,Słownik terminów literackich (Sierotwiński),,
epopeja żartobliwa,,epopeja żartobliwy,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epos,,epos,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810660689905606,http://www.wikidata.org/entity/Q28125626
epos heroiczny,,epos heroiczny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
epos homerycki,,epos homerycki,,Słownik pojęć i tekstów kultury,,
epos religijno-filozoficzny,,epos religijny - filozoficzny,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
